time	phase	flux	fluxerr			phase	flux		
2460510.500	0.000	0.992663	0.000457			0	0.992663	2460510.5	T0
2460510.510	0.001	0.992440	0.000132			0.001	0.992440	10	Period
2460510.520	0.002	0.992666	0.000249			0.002	0.992666		
2460510.530	0.003	0.992470	0.000134			0.003	0.992470		
2460510.540	0.004	0.992606	0.000142			0.004	0.992606		
2460510.550	0.005	0.992834	0.000108			0.005	0.992834		
2460510.560	0.006	0.992936	0.000101			0.006	0.992936		
2460510.570	0.007	0.992674	0.000059			0.007	0.992674		
2460510.580	0.008	0.992970	0.000004			0.008	0.992970		
2460510.590	0.009	0.992863	0.000261			0.009	0.992863		
2460510.600	0.010	0.993494	0.000411			0.01	0.993494		
2460510.610	0.011	0.998066	0.000030			0.011	0.998066		
2460510.620	0.012	1.000160	0.000190			0.012	1.000160		
2460510.630	0.013	1.000265	0.000085			0.013	1.000265		
2460510.640	0.014	0.999933	0.000044			0.014	0.999933		
2460510.650	0.015	0.999953	0.000062			0.015	0.999953		
2460510.660	0.016	0.999870	0.000289			0.016	0.999870		
2460510.670	0.017	1.000331	0.000211			0.017	1.000331		
2460510.680	0.018	1.000084	0.000424			0.018	1.000084		
2460510.690	0.019	1.000361	0.000302			0.019	1.000361		
2460510.700	0.020	1.000355	0.000041			0.02	1.000355		
2460510.710	0.021	1.000398	0.000127			0.021	1.000398		
2460510.720	0.022	1.000041	0.000078			0.022	1.000041		
2460510.730	0.023	1.000365	0.000074			0.023	1.000365		
2460510.740	0.024	1.000172	0.000296			0.024	1.000172		
2460510.750	0.025	1.000232	0.000294			0.025	1.000232		
2460510.760	0.026	1.000325	0.000410			0.026	1.000325		
2460510.770	0.027	1.000152	0.000257			0.027	1.000152		
2460510.780	0.028	1.000089	0.000380			0.028	1.000089		
2460510.790	0.029	1.000097	0.000378			0.029	1.000097		
2460510.800	0.030	1.000059	0.000114			0.03	1.000059		
2460510.810	0.031	1.000403	0.000361			0.031	1.000403		
2460510.820	0.032	1.000434	0.000125			0.032	1.000434		
2460510.830	0.033	1.000334	0.000459			0.033	1.000334		
2460510.840	0.034	1.000151	0.000266			0.034	1.000151		
2460510.850	0.035	1.000061	0.000201			0.035	1.000061		
2460510.860	0.036	1.000195	0.000406			0.036	1.000195		
2460510.870	0.037	1.000456	0.000193			0.037	1.000456		
2460510.880	0.038	1.000121	0.000046			0.038	1.000121		
2460510.890	0.039	1.000249	0.000034			0.039	1.000249		
2460510.900	0.040	1.000082	0.000285			0.04	1.000082		
2460510.910	0.041	1.000222	0.000217			0.041	1.000222		
2460510.920	0.042	1.000381	0.000375			0.042	1.000381		
2460510.930	0.043	1.000429	0.000335			0.043	1.000429		
2460510.940	0.044	1.000281	0.000415			0.044	1.000281		
2460510.950	0.045	1.000278	0.000489			0.045	1.000278		
2460510.960	0.046	1.000002	0.000172			0.046	1.000002		
2460510.970	0.047	0.999978	0.000477			0.047	0.999978		
2460510.980	0.048	1.000211	0.000266			0.048	1.000211		
2460510.990	0.049	1.000180	0.000282			0.049	1.000180		
2460511.000	0.050	1.000293	0.000437			0.05	1.000293		
2460511.010	0.051	1.000027	0.000162			0.051	1.000027		
2460511.020	0.052	1.000119	0.000179			0.052	1.000119		
2460511.030	0.053	1.000282	0.000399			0.053	1.000282		
2460511.040	0.054	1.000303	0.000072			0.054	1.000303		
2460511.050	0.055	1.000097	0.000063			0.055	1.000097		
2460511.060	0.056	1.000332	0.000358			0.056	1.000332		
2460511.070	0.057	1.000367	0.000118			0.057	1.000367		
2460511.080	0.058	1.000182	0.000366			0.058	1.000182		
2460511.090	0.059	1.000278	0.000163			0.059	1.000278		
2460511.100	0.060	1.000357	0.000487			0.06	1.000357		
2460511.110	0.061	0.999939	0.000078			0.061	0.999939		
2460511.120	0.062	1.000072	0.000260			0.062	1.000072		
2460511.130	0.063	1.000335	0.000306			0.063	1.000335		
2460511.140	0.064	1.000011	0.000333			0.064	1.000011		
2460511.150	0.065	1.000394	0.000297			0.065	1.000394		
2460511.160	0.066	0.999928	0.000308			0.066	0.999928		
2460511.170	0.067	1.000146	0.000225			0.067	1.000146		
2460511.180	0.068	1.000009	0.000380			0.068	1.000009		
2460511.190	0.069	1.000394	0.000276			0.069	1.000394		
2460511.200	0.070	1.000082	0.000177			0.07	1.000082		
2460511.210	0.071	1.000078	0.000076			0.071	1.000078		
2460511.220	0.072	0.999891	0.000004			0.072	0.999891		
2460511.230	0.073	1.000150	0.000348			0.073	1.000150		
2460511.240	0.074	1.000065	0.000176			0.074	1.000065		
2460511.250	0.075	1.000449	0.000486			0.075	1.000449		
2460511.260	0.076	1.000230	0.000310			0.076	1.000230		
